run_accession,bioproject_accession,biosample_accession,sample_accession,total_bases,total_spots,published,platform,instrument_model,library_strategy,library_source,organism,center_name,organization_name,institution,geo_loc_name,file_size_mb,source,published_dt,year,is_saudi_submitter,is_pathogen,is_wgs,is_genomic,is_complete_genome
SRR31990192,,SAMN46241485,SRS23782329,174425591.0,126461.0,2026-01-13 00:00:26,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,146.58309745788574,NCBI,2026-01-13 00:00:26,2026,True,False,False,False,False
SRR31990191,,SAMN46241486,SRS23782330,171959985.0,125197.0,2026-01-13 00:00:26,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,144.62013912200928,NCBI,2026-01-13 00:00:26,2026,True,False,False,False,False
SRR31990190,,SAMN46241487,SRS23782331,175794597.0,128000.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,148.86473178863525,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31990189,,SAMN46241488,SRS23782332,175008929.0,128000.0,2026-01-13 00:00:26,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,148.06011772155762,NCBI,2026-01-13 00:00:26,2026,True,False,False,False,False
SRR31990188,,SAMN46241489,SRS23782333,175028503.0,128000.0,2026-01-13 00:00:26,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,149.56507396697998,NCBI,2026-01-13 00:00:26,2026,True,False,False,False,False
SRR31814575,,SAMN45954155,SRS23627521,13181778900.0,43939263.0,2026-01-01 01:37:51,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,Saudi Arabia,3835.794072151184,NCBI,2026-01-01 01:37:51,2026,True,False,False,False,False
SRR31392376,,SAMN44806403,SRS23249474,63050994.0,104969.0,2024-11-19 03:18:00,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,49.24550247192383,NCBI,2024-11-19 03:18:00,2024,True,False,False,False,False
SRR31603559,,SAMN45146837,SRS23437266,5866186131.0,19646628.0,2025-05-01 01:44:23,ILLUMINA,Illumina NovaSeq 6000,Targeted-Capture,GENOMIC,Picris abyssinica,"Faculty of Science, Charles University","Faculty of Science, Charles University","Faculty of Science, Charles University","Saudi Arabia: Makkah province, 30 km from Taif",1903.7842903137207,NCBI,2025-05-01 01:44:23,2025,False,False,False,True,False
SRR31603618,,SAMN45146846,SRS23437206,5257572434.0,17724903.0,2025-05-01 01:44:20,ILLUMINA,Illumina NovaSeq 6000,Targeted-Capture,GENOMIC,Picris asplenioides subsp. asplenioides,"Faculty of Science, Charles University","Faculty of Science, Charles University","Faculty of Science, Charles University","Saudi Arabia: Shafa highland, 30 km SW of Taif",1691.8473529815674,NCBI,2025-05-01 01:44:20,2025,False,False,False,True,False
SRR31392347,,SAMN44806395,SRS23249503,71169337.0,118417.0,2024-11-19 03:18:02,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,human nasopharyngeal metagenome,king abdulaziz university,king abdulaziz university,King Abdulaziz University,Saudi Arabia,55.61609840393066,NCBI,2024-11-19 03:18:02,2024,True,False,False,False,False
